Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
115929,The New American Bible,Anonymous,"Anonymous, Anonymous",United States Conference of Catholic Bishops,"=""0529064847""","=""9780529064844""",0,4.54,Catholic World Press/World Bible Publishers,Paperback,1394,1987,1899,,2024/11/10,to-read,to-read (#238),to-read,,,,0,0
205307264,Boom: Bubbles and the End of Stagnation,Byrne Hobart,"Hobart, Byrne",Tobias Huber,"=""1953953476""","=""9781953953476""",0,0.0,Stripe Press,Hardcover,304,2024,,,2024/11/09,to-read,to-read (#237),to-read,,,,0,0
52219273,"How Innovation Works: Serendipity, Energy and the Saving of Time",Matt Ridley,"Ridley, Matt",,"=""0062916599""","=""9780062916594""",0,4.11,Harper,Hardcover,416,2020,2020,,2024/09/07,"from-naval, currently-reading","from-naval (#2), currently-reading (#5)",currently-reading,,,,1,0
209234015,Build a Large Language Model (From Scratch),Sebastian Raschka,"Raschka, Sebastian",,"=""1633437167""","=""9781633437166""",0,4.65,Manning,Paperback,400,2025,,,2024/11/01,to-read,to-read (#236),to-read,,,,0,0
18106978,Homotopy Type Theory,The Univalent Foundations Program,"Program, The Univalent Foundations",,"=""""","=""""",0,4.49,The Univalent Foundations Program Institute for Advanced Study,ebook,618,2013,2013,,2024/10/27,to-read,to-read (#235),to-read,,,,0,0
345095,The Evolving Self: Problem and Process in Human Development,Robert Kegan,"Kegan, Robert",,"=""0674272315""","=""9780674272316""",4,4.23,Harvard University Press,Paperback,336,1982,1982,2024/10/27,2024/01/20,from-caseyc,from-caseyc (#1),read,,,,1,0
12352452,"Season of the Witch: Enchantment, Terror and Deliverance in the City of Love",David Talbot,"Talbot, David",,"=""1439108218""","=""9781439108215""",0,4.30,Free Press (NYC),Hardcover,453,2012,2012,,2024/10/19,to-read,to-read (#234),to-read,,,,0,0
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.15,Crown Currency,Hardcover,195,2014,2014,2024/10/09,2017/04/10,,,read,,,,1,0
6407599,Leverage Points: Places to Intervene in a System,Donella H. Meadows,"Meadows, Donella H.",,"=""""","=""""",0,4.69,The Sustainability Institute,pdf,21,1999,1999,,2024/10/07,to-read,to-read (#233),to-read,,,,0,0
192405005,Hypermedia Systems,Carson Gross,"Gross, Carson","Mike Amundsen, Adam Stepinski, Deniz Akşimşek, William Talcott","=""""","=""""",0,4.38,,Kindle Edition,548,2023,,,2024/09/21,to-read,to-read (#232),to-read,,,,0,0
11453188,The Upanishads (Easwaran's Classics of Indian Spirituality Book 2),Eknath Easwaran,"Easwaran, Eknath",Eknath Easwaran,"=""""","=""""",5,4.25,,Kindle Edition,339,,-500,2024/09/07,2024/04/21,from-pat-oshaugnessey,from-pat-oshaugnessey (#2),read,,,,1,0
174713,The Lessons of History,Will Durant,"Durant, Will",Ariel Durant,"=""1567310249""","=""9781567310245""",5,4.06,Fine Communications,Hardcover,119,1997,1968,2024/09/04,2024/01/20,from-caseyc,from-caseyc (#3),read,,,,1,0
24113,"Gödel, Escher, Bach: An Eternal Golden Braid",Douglas R. Hofstadter,"Hofstadter, Douglas R.",,"=""0465026567""","=""9780465026562""",0,4.29,Basic Books,Paperback,777,1999,1979,,2024/08/08,currently-reading,currently-reading (#4),currently-reading,,,,1,0
12187787,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""1101549823""","=""9781101549827""",0,4.18,Penguin Books,Kindle Edition,498,2011,2011,,2020/05/09,"to-read, naval-arjun","to-read (#222), naval-arjun (#2)",to-read,,,,1,0
230122,Counseling with Choice Theory,William Glasser,"Glasser, William",,"=""0060953667""","=""9780060953669""",0,4.04,Harper Perennial,Paperback,272,2001,2001,,2024/09/07,"to-read, naval-arjun","to-read (#231), naval-arjun (#1)",to-read,,,,0,0
34537901,The Fellowship of the River: A Medical Doctor's Exploration into Traditional Amazonian Plant Medicine,Joseph Tafur,"Tafur, Joseph",Gabor Maté,"=""0998609501""","=""9780998609508""",0,4.51,Joseph Tafur,Paperback,288,2017,,,2024/08/26,to-read,to-read (#230),to-read,,,,0,0
56019043,Beyond Order: 12 More Rules For Life,Jordan B. Peterson,"Peterson, Jordan B.",,"=""0593084640""","=""9780593084649""",0,4.17,Portfolio,Hardcover,382,2021,2021,,2021/06/22,to-read,to-read (#76),to-read,,,,0,0
18224060,The Concise 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""""","=""""",4,4.12,Viva Books,Hardcover,195,2011,1998,2019/07/13,2017/04/29,,,read,,,,1,0
55145261,The Anthropocene Reviewed: Essays on a Human-Centered Planet,John Green,"Green, John",,"=""0525555218""","=""9780525555216""",0,4.36,Dutton,Hardcover,304,2021,2021,,2021/12/28,to-read,to-read (#87),to-read,,,,0,0
23463279,Designing Data-Intensive Applications,Martin Kleppmann,"Kleppmann, Martin",,"=""""","=""""",0,4.71,O'Reilly,ebook,562,,2015,,2024/05/22,"currently-reading, software","currently-reading (#3), software (#1)",currently-reading,,,,1,0
53343,On Writing Well: The Classic Guide to Writing Nonfiction,William Zinsser,"Zinsser, William",,"=""0060891548""","=""9780060891541""",0,4.24,Harper Perennial,Paperback,321,2006,1976,,2024/06/09,"currently-reading, writing","currently-reading (#2), writing (#1)",currently-reading,,,,1,0
154060,A Mathematician's Apology,G.H. Hardy,"Hardy, G.H.",,"=""0521427061""","=""9780521427067""",0,3.92,Fisicalbook,Paperback,153,1992,1940,,2024/07/24,to-read,to-read (#229),to-read,,,,0,0
24617,A Manual for Living (A Little Book of Wisdom),Epictetus,"Epictetus, Epictetus",,"=""0062511114""","=""9780062511119""",0,4.24,HarperOne,Paperback,96,1994,125,,2024/07/24,"to-read, from-james-clear","to-read (#228), from-james-clear (#1)",to-read,,,,0,0
662107,The Starship & the Canoe,Kenneth Brower,"Brower, Kenneth",,"=""0060910305""","=""9780060910303""",0,4.14,Harpercollins,Paperback,272,1983,1978,,2024/06/30,"to-read, from-ribbonfarm","to-read (#227), from-ribbonfarm (#4)",to-read,,,,1,0
35958896,"Astounding: John W. Campbell, Isaac Asimov, Robert A. Heinlein, L. Ron Hubbard, and the Golden Age of Science Fiction",Alec Nevala-Lee,"Nevala-Lee, Alec",,"=""0062571966""","=""9780062571960""",0,4.20,Dey Street Books,Kindle Edition,544,2018,2018,,2024/06/30,"to-read, from-ribbonfarm","to-read (#226), from-ribbonfarm (#3)",to-read,,,,0,0
34459,Metaphors We Live By,George Lakoff,"Lakoff, George",Mark Johnson,"=""0226468011""","=""9780226468013""",0,4.10,University of Chicago Press,Paperback,276,2003,1980,,2024/06/30,"to-read, from-ribbonfarm","to-read (#225), from-ribbonfarm (#2)",to-read,,,,0,0
20657434,The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers,Ben Horowitz,"Horowitz, Ben",,"=""""","=""""",0,4.22,Harper Business,Kindle Edition,308,2014,2014,,2017/04/10,to-read,to-read (#224),to-read,,,,1,0
18693910,Barbarian Days: A Surfing Life,William Finnegan,"Finnegan, William",,"=""1594203474""","=""9781594203473""",0,4.27,Penguin Press,Hardcover,447,2015,2015,,2019/08/27,to-read,to-read (#223),to-read,,,,1,0
36645100,Inspired: How to Create Tech Products Customers Love (Silicon Valley Product Group),Marty Cagan,"Cagan, Marty",,"=""1119387566""","=""9781119387565""",0,4.24,Wiley,Kindle Edition,349,2017,2008,,2020/07/01,to-read,to-read (#221),to-read,,,,1,0
4069,Man’s Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.37,Beacon Press,Paperback,165,2006,1946,,2020/09/12,to-read,to-read (#220),to-read,,,,1,0
823754,"The Annotated Hobbit: The Hobbit, or, There and back again",J.R.R. Tolkien,"Tolkien, J.R.R.",Douglas A. Anderson,"=""""","=""""",0,4.29,Houghton Mifflin Company,Hardcover,399,1990,1937,,2020/09/25,to-read,to-read (#219),to-read,,,,1,0
41721428,Can't Hurt Me: Master Your Mind and Defy the Odds,David Goggins,"Goggins, David",,"=""1544512260""","=""""",0,4.31,Lioncrest Publishing,Kindle Edition,366,2018,2018,,2020/10/01,to-read,to-read (#218),to-read,,,,1,0
18685328,The Five Dysfunctions of a Team: A Leadership Fable,Patrick Lencioni,"Lencioni, Patrick",,"=""""","=""""",0,4.11,Jossey-Bass,Kindle Edition,242,2011,2002,2024/06/30,2021/04/17,,,read,,,,1,0
36849193,"How to Change Your Mind: What the New Science of Psychedelics Teaches Us About Consciousness, Dying, Addiction, Depression, and Transcendence",Michael Pollan,"Pollan, Michael",,"=""0525558942""","=""9780525558941""",0,4.27,Penguin Books,Kindle Edition,480,2018,2018,,2021/06/20,to-read,to-read (#217),to-read,,,,1,0
55338968,The Cold Start Problem: How to Start and Scale Network Effects,Andrew Chen,"Chen, Andrew",,"=""0062969749""","=""9780062969743""",0,4.19,Harper Business,Hardcover,386,2021,,,2022/02/03,to-read,to-read (#216),to-read,,,,1,0
37926707,The Mind is Flat: The Illusion of Mental Depth and The Improvised Mind,Nick Chater,"Chater, Nick",,"=""""","=""""",0,3.74,Penguin,Kindle Edition,220,2018,,,2022/02/16,to-read,to-read (#215),to-read,,,,1,0
34689843,Disciplined Entrepreneurship Workbook,Bill Aulet,"Aulet, Bill",,"=""""","=""""",0,4.37,Wiley,Kindle Edition,409,2017,,,2022/02/23,to-read,to-read (#214),to-read,,,,1,0
50752085,Complexity: The Emerging Science at the Edge of Order and Chaos,M. Mitchell Waldrop,"Waldrop, M. Mitchell",,"=""150405914X""","=""9781504059145""",0,4.05,Open Road Media,Kindle Edition,376,2019,1992,,2022/05/05,to-read,to-read (#213),to-read,,,,1,0
75314488,One from Many: VISA and the Rise of Chaordic Organization,Dee Hock,"Hock, Dee",,"=""""","=""""",0,4.12,,Kindle Edition,487,2022,2000,,2022/08/31,to-read,to-read (#212),to-read,,,,1,0
39349923,How to Be an Adult: A Handbook on Psychological and Spiritual Integration,David Richo,"Richo, David",,"=""""","=""""",0,4.38,Paulist Press™,Kindle Edition,132,1991,1991,,2023/06/19,"maggie-appleton, to-read","maggie-appleton (#1), to-read (#211)",to-read,,,,1,0
25942786,The Mind Illuminated: A Complete Meditation Guide Integrating Buddhist Wisdom and Brain Science,Culadasa (John Charles Yates),"Yates), Culadasa (John Charles","John Charles Yates, Matthew Immergut, Jeremy Graves","=""0990847705""","=""9780990847700""",0,4.25,Dharma Treasure Press,Paperback,504,2015,2015,,2023/10/26,to-read,to-read (#210),to-read,,,,1,0
